value,textx,texty,ex,ey
1,704,135,697,95
2,629,135,622,95
3,554,135,547,95
4,479,135,472,95
5,404,135,397,95
6,329,135,322,95
7,254,135,247,95
8,179,135,172,95
9,104,135,97,95
10,29,135,22,95
11,29,200,22,160
12,104,200,97,160
13,179,200,172,160
14,254,200,247,160
15,329,200,322,160
16,404,200,397,160
17,479,200,472,160
18,554,200,547,160
19,629,200,622,160
20,704,200,697,160
21,704,265,697,225
22,629,265,622,225
23,554,265,547,225
24,479,265,472,225
25,404,265,397,225
26,329,265,322,225
27,254,265,247,225
28,179,265,172,225
29,104,265,97,225
30,29,265,22,225
31,29,330,22,290
32,104,330,97,290
33,179,330,172,290
34,254,330,247,290
35,329,330,322,290
36,404,330,397,290
37,479,330,472,290
38,554,330,547,290
39,629,330,622,290
40,704,330,697,290
41,704,395,697,355
42,629,395,622,355
43,554,395,547,355
44,479,395,472,355
45,404,395,397,355
46,329,395,322,355
47,254,395,247,355
48,179,395,172,355
49,104,395,97,355
50,29,395,22,355
51,29,460,22,420
52,104,460,97,420
53,179,460,172,420
54,254,460,247,420
55,329,460,322,420
56,404,460,397,420
57,479,460,472,420
58,554,460,547,420
59,629,460,622,420
60,704,460,697,420
61,704,525,697,485
62,629,525,622,485
63,554,525,547,485
64,479,525,472,485
65,404,525,397,485
66,329,525,322,485
67,254,525,247,485
68,179,525,172,485
69,104,525,97,485
70,29,525,22,485
71,29,590,22,550
72,104,590,97,550
73,179,590,172,550
74,254,590,247,550
75,329,590,322,550
76,404,590,397,550
77,479,590,472,550
78,554,590,547,550
79,629,590,622,550
80,704,590,697,550
